"ID"	"date"	"method"	"TP_mgL"	"TNb_mgL"	"As_ugL"	"Zn_ugL"	"Pb_ugL"	"Hg_ugL"	"Cu_ugL"	"Cd_ugL"
"S43"	"2018-05-15"	"eds"	0.028	3.35	0	94	0	0	4.8	0.02
"S43"	"2018-06-07"	"grab"	0.011	3.39	0	0	0	0	0	0
"S43"	"2018-04-09"	"eds"			0.8	112	3.8		5.8	0.1
"S43"	"2019-05-16"	"eds"	0.007	1.91	0	2	0	0	1.1	0
"S43"	"2018-05-10"	"eds"	0.139	0.407	0.6	187	0	0.003	6.5	0.09
"S43"	"2019-07-01"	"grab"	0	1.77	0	2	0	0.004	1.8	0
"S43"	"2018-05-31"	"eds"			0	3	0	0.002	3.2	0
"S43"	"2019-05-02"	"grab"	0	2.37	0	0	0	0.003	0	0
"S43"	"2019-05-20"	"eds"	0.011	1.37	0	8	0	0	4.1	0
"S43"	"2019-04-16"	"grab"	0	3.19	0	0	0	0.003	1.3	0
"S43"	"2019-05-23"	"grab"	0.016	6.29	0	3	0	0.004	1.4	0
"S44"	"2019-07-06"	"eds"	0.006	8.36	0	8	0.14	0	2.1	0.04
"S44"	"2019-07-01"	"grab"	0.016	8.81	0	6	0	0.004	0.3	0.13
"S44"	"2019-04-17"	"grab"	0.047	7.12	0	4	0	0.003	0	0.16
"S44"	"2019-05-23"	"grab"	0.013	6.62	0	8	0	0.005	0	0.13
"S44"	"2019-05-02"	"grab"	0.029	6.45	0	4	0	0.003	0	0.15
"S44"	"2019-06-12"	"eds"	0.028	8.4	0	4	0	0	1.9	0.06
"S44"	"2019-06-13"	"grab"	0.016	8.57	0	6	0	0	0	0.11
"S45"	"2019-04-17"	"grab"	0.026	8.91	0.6	10	0	0.003	0	0.33
"S45"	"2019-05-23"	"grab"	0.016	9	0	16	0	0.004	0	0.34
"S45"	"2019-05-02"	"grab"	0.03	8.8	0.8	8	0	0.003	1.5	0.35
"S45"	"2019-06-13"	"grab"	0.011	11.2	0.6	13	0	0	0	0.25
"S45"	"2019-07-01"	"grab"	0	10.2	0.6	14	0	0	1.1	0.32
"S45"	"2019-06-20"	"eds"	0.063	10.8	0	18	0.51	0	9.7	0.18
"S46"	"2018-05-01"	"grab"	0.025	7.12	0.6	0	0	0	1.4	0
"S46"	"2018-04-15"	"eds"			0	0	0		3.4	0
"S46"	"2018-10-16"	"grab"	0	3.61	0	0	0		0	0
"S46"	"2018-06-06"	"grab"	0	4.06	0	0	0	0	0	0
"S47"	"2018-05-24"	"eds"	0.272	4.72	0.6	0	0	0.003	2.3	0
"S47"	"2018-10-18"	"grab"	0.013	0	0	0	0		0	0
"S47"	"2018-05-03"	"grab"	0.047	8.67	0	4	0	0.003	2.2	0.13
"S47"	"2018-06-06"	"grab"	0.121	9.76	0.8	0	0	0	0	0
"S48"	"2019-06-12"	"grab"	0.572	1.51	2.3	4	0	0	0.8	0.02
"S48"	"2019-07-01"	"grab"	2.25	4.79	4.4	6	0	0.007	6.8	0
"S48"	"2019-06-13"	"eds"	0.784	4.54	2.4	3	0.28	0	9.4	0.03
"S48"	"2019-04-09"	"grab"	0.094	11.2	1	3	0	0.003	3.5	0.05
"S48"	"2019-05-06"	"grab"	0.048	1.37	1.1	4	0	0.004	2.1	0.02
"S48"	"2019-05-21"	"grab"	0.076	0.931	1.6	3	0	0.004	1.9	0
"S49"	"2019-06-12"	"grab"	0.01	5.48	0	2	0	0	0.8	0
"S49"	"2019-05-21"	"grab"	0.018	4.36	0	2	0	0.006	1.2	0
