"ID"	"date"	"flow_velocity_ms"
"S101"	2019-04-11	0.03
"S101"	2019-05-03	0.01
"S101"	2019-05-24	0.01
"S101"	2019-06-14	0.001
"S102"	2019-04-09	0.38
"S102"	2019-04-30	0.3
"S102"	2019-05-21	0.36
"S103"	2018-04-12	0.01
"S103"	2018-05-03	0
"S103"	2018-05-24	0
"S103"	2018-06-15	0
"S103"	2018-07-04	0
"S103"	2018-10-15	0
"S104"	2019-04-16	0.35
"S104"	2019-05-20	0.3
"S104"	2019-06-11	0.45
"S104"	2019-07-01	0.1
"S105"	2018-04-10	0.7
"S105"	2018-05-01	0.7
"S105"	2018-05-23	0.45
"S105"	2018-06-06	0.2
"S105"	2018-07-05	0.3
"S105"	2019-04-16	0.1
"S105"	2019-05-01	0.1
"S105"	2019-06-12	0.18
"S106"	2019-04-16	0.55
"S106"	2019-05-02	0.25
"S106"	2019-05-24	0.4
"S106"	2019-06-14	0.6
"S107"	2019-04-16	0.5
"S107"	2019-05-01	0.44
"S107"	2019-05-24	0.5
"S107"	2019-06-14	0.6
"S108"	2019-04-09	0.31
"S108"	2019-06-11	0.3
"S109"	2019-04-10	0.15
"S109"	2019-04-11	0.15
"S110"	2018-05-30	0.2
"S110"	2018-06-21	0.14
"S110"	2018-07-11	0.3
"S110"	2018-09-11	0.06
"S111"	2018-05-30	0.25
"S111"	2018-06-21	0.21
"S111"	2018-07-11	0.36
"S111"	2018-09-11	0.22
"S112"	2019-04-10	0.6
"S112"	2019-04-29	0.2
"S112"	2019-06-11	0.32
"S112"	2019-07-01	0.45
"S113"	2018-05-29	0.22
"S113"	2018-06-20	0.33
"S113"	2018-07-10	0.2
"S113"	2018-09-10	0.11
"S114"	2018-05-30	0.3
"S114"	2018-06-21	0.1
"S114"	2018-07-11	0.4
"S114"	2018-09-11	0.08
"S114"	2019-04-08	0.2
"S114"	2019-04-29	0.3
"S114"	2019-05-21	0.45
"S114"	2019-06-11	0.3
"S114"	2019-07-01	0.25
"S115"	2018-04-13	0.5
"S115"	2018-05-01	0.3
"S115"	2018-05-25	0.3
"S115"	2018-06-05	0.2
"S115"	2018-07-03	0.4
"S116"	2018-04-11	0.4
"S116"	2018-05-02	0.25
"S116"	2018-05-23	0.2
"S116"	2018-07-04	0.25
"S116"	2018-10-16	0.2
"S116"	2019-04-15	0.3
"S116"	2019-04-29	0.8
"S116"	2019-05-20	0.4
"S116"	2019-06-11	0.3
"S116"	2019-07-01	0.18
"S117"	2018-04-11	0.3
"S117"	2018-05-02	0.2
"S117"	2018-05-23	0.125
"S117"	2018-07-04	0
"S118"	2019-04-08	0.15
"S118"	2019-05-07	0.2
"S118"	2019-05-20	0.3
"S118"	2019-06-11	0.3
"S119"	2018-04-10	0.9
"S119"	2018-05-01	0.7
"S119"	2018-05-23	0.5
"S119"	2018-06-06	0.4
"S119"	2018-07-05	0.25
"S119"	2018-10-16	0.15
"S120"	2018-06-21	0.11
"S120"	2018-09-11	0.13
"S121"	2018-05-29	0.2
"S121"	2018-06-20	0.09
"S121"	2018-07-10	0.08
"S121"	2018-09-10	0.2
"S122"	2018-04-12	0.3
"S123"	2019-04-08	0.1
"S123"	2019-04-29	0.5
"S123"	2019-05-20	0.25
"S124"	2018-04-12	0.2
"S124"	2018-05-01	0.1
"S124"	2018-05-25	0.01
"S124"	2018-10-22	0
