"siteID"	"year"	"TUmax"	"speartaxa"	"sapr"	"eptProz"	"TUmetalpeak"	"fliessgeoMean"	"Agriculture"	"area_km2"	"Gesamt"	"grabby"	"pHmean"	"pHquant9"	"NH4"	"NO2"	"NO3"	"PO4"	"TN_mgLlog"	"TP_mgLlog"	"meanO2p25"	"stream_width_m"	"water_depth_cm"	"meantempP75_nt"	"tempP75_nt"
"S53"	2018	-1.65	0.632339232629076	2.00434782608696	15.625	0.117352762191037	0.228942848510666	22.0750695773339	6.19143	4.7	60	7.41909090909091	8.07	0.0791812460476248	0.00860017176191757	0.421603926869831	0.544068044350276	1.138365863679	0.17283636012271	6.59	0.61666666675	19.444444445	19.02	19.02
"S53"	2019	-2.74	0.632339232629076	1.8625	30.3030303030303	-0.660617896124089	0.117017365966036	23.9552034972263	6.19143	4.1	70	7.644	7.876	0.0512297234931633	0.0648322197385739	0.984527313343793	0.612232694614741	0.7157131	-0.7472957	7.48	1.60666666666667	28.2333333333333	18.92	18.92
"S110"	2018	-1.68	0.873913420134968	1.712	37.1428571428571	-0.775850929022925	0.203279271362971	0	3.76504	1.6	80	7.372	7.952	0.0413926851582251	0.00603795499731718	0.387389826338729	0.296665190261531	0.0236227898790068	-1.36451625318509	8.296875	0.57	9.55555555575	18.90538	18.57
"S54"	2018	-1.67	0.862438322459715	1.94444444444444	19.2307692307692	-0.284342289124709	0.196609514498312	66.1782671784029	29.10945	5.1	40	7.79818181818182	8.07	0.0718820073061254	0.00860017176191757	0.730782275666389	0.459392487759231	0.76774936734558	0.0937017848055486	7.51	1.07666666675	29.7777777775	19.25	19.25
"S55"	2018	-0.64	0.338295180586511	2.16153846153846	14.8148148148148	0.0466230016661995	0.307231682568585	49.4689439400792	28.62764	4.3	0	7.79	8.06	0.176091259055681	0.0484418035504044	0.778151250383644	0.374748346010104	1.01241537476243	0.218797998111738	7.15	1.37666666675	12.38888889075	19.42	19.42
"S56"	2018	-1.31	0.80649214227607	1.79090909090909	26.6666666666667	0.475063672567491	0.244948974278318	56.0404876197047	9.59103	4.6	100	7.89363636363636	8.6	0.397940008672038	0.0334237554869497	0.440909082065218	0.380211241711606	0.639087871083737	-0.333669255698032	7.43	0.71	23.1111111125	21.28	21.28
"S57"	2019	-0.22	0.149756609780435	2.4275	1.5625	-0.177762464673047	0.281731324726126	44.4664553672359	16.18387	5.7	30	7.7118	7.89	0.426446193646736	0.405175546217989	1.57936052493451	0.379631796019372	1.29622628726116	0.266701966884088	3.82	3.352	37.2	20.52	20.52
"S58"	2018	-1.68	0.679170914263291	1.93125	29.4117647058824	-0.0782136425753089	0.301840536839884	68.9936693635061	18.88009	4.4	60	7.58	8.101	0.0413926851582251	0.00860017176191757	1.02036128264771	0.334453751150931	0.700011062322112	-0.226652458019177	7.97	1.20333333325	18.22222222	18.51	18.51
"S111"	2018	-5	1.39343552818744	1.672	64.7058823529412	-1.72162230491494	0.26637120052278	0	10.26968	1.9	100	7.34090909090909	7.96	0.0413926851582251	0.010299956639812	0.528916700277655	0.491361693834273	0.401228167498113	-1.24108810760203	8.296875	0.93666666675	14.2222222225	18.90538	19.77
"S112"	2019	-4.08	1.24538023525394	1.63246753246753	43.2692307692308	-1.29634078871892	0.362565047682812	0	10.26968	3.6	40	7.17375	7.7695	0.0210238220315851	0.0632582799504556	0.803825699793988	0.0948203803547999	0.287409	-1.28438	8.296875	2.235	21	18.90538	19.77
"S59"	2018	-1.36	0.262363155885451	2.01428571428571	0	-0.245652137835286	0.379473319220205	53.3741707680451	7.30122	4.5	20	7.85090909090909	8.12	0.0934216851622351	0.0170333392987804	0.612783856719736	0.350248018334163	0.9006401839826	0.353339095311305	8.085	0.84666666675	11.444444445	19.56	19.56
"S59"	2019	-2.15	0.262363155885451	1.984375	11.2903225806452	-0.824348374067764	0.252922851774757	40.1954703672793	7.30122	5.2	10	7.8158	8.0716	0.0903991492554629	0.0993352776859578	0.848004271497268	0.524992947883174	0.7157131	-0.7472957	8.24	1.751	11.62	18.09	18.09
"S60"	2018	-1.67	0.432922808978353	2.24375	8.57142857142857	-0.0857321776571241	0.288449914061482	48.1071852013908	5.67208	4.8	20	8.02272727272727	8.29	0.0569048513364726	0.00860017176191757	0.488550716500444	0.278753600952829	0.992288353797092	0.217483944213906	7.68	0.66	8.4444444445	19.43	19.43
"S60"	2019	-2.06	0.432922808978353	1.90727272727273	12.7450980392157	-0.32217797267794	0.198218545625789	51.3213056922378	5.67208	5.6	10	7.861	8.344	0.251978710063381	0.0792536224300777	0.865115824260695	0.11186714680447	0.7157131	-0.7472957	8.03	0.9525	20.8333333333333	17.82	17.82
"S113"	2018	-1.7	0.556962917942507	1.525	25	-1.10986050032183	0.243962011464685	0	2.25239	3.8	15	7.22818181818182	7.51	0.0413926851582251	0.00432137378264258	0.612783856719735	0.390935107103379	0.0707764628434346	-1.6458915608526	8.296875	0.57333333325	6.4444444445	18.90538	18.53
"S114"	2018	-1.68	0.534222312352728	1.95	9.09090909090909	-2.98397255456585	0.228942848510666	26.0384271777989	10.70428	3.8	0	7.39272727272727	7.96	0.0413926851582251	0.00603795499731718	0.462397997898956	0.390935107103379	0.288696260590256	-1.30980391997149	8.71	1	20.88888889	17.62	17.62
"S61"	2019	-3.13	0.864491957729946	1.91428571428571	24.6153846153846	-0.815354987669467	0.240760268700543	42.6097789666026	9.57614	4.4	70	7.654	7.92	0.290479813330673	0.128722284338427	1.41648406659324	0.230193378869046	0.942008053022313	-0.696803942579511	7.82	1.78	35.6666666666667	17.3	17.3
"S62"	2018	-2.69	0.692169331508414	2.25172413793103	18.8405797101449	-1.21209470643538	0.0984764701422617	63.603876873704	19.69664	4.3	60	7.935	8.295	0	0.0606978403536116	1.24919835739111	0.0463000196529692	0.867644233903098	-1.97061622231479	5.81	3.672	19.8333333333333	17.99	17.99
"S63"	2018	-2.19	0.676018299925185	2.00625	31.8840579710145	-0.272031430536462	0.279205162158824	76.5581418305935	12.9241	3.7	80	8.03	8.226	0	0.0606978403536116	1.27875360095283	0.0925452076056063	0.936915680945254	-0.342944147142896	6.43	2.31	30.1	17.92	17.92
"S63"	2019	-1.47	0.676018299925185	1.96666666666667	21.2765957446809	-0.375573358067455	0.309028625034165	69.0555957013542	12.9241	3.7	90	8.01	8.286	0.356790460351716	0.201315174233992	1.48718505608854	0.730693470317932	0.7157131	-0.7472957	6.7	2.92	28.8333333333333	17.34	17.34
"S64"	2018	-2.55	1.22912056450776	1.736	36.5079365079365	-0.68618850391252	0.0586794353158779	42.0161021050238	17.23213	4	85	8.28571428571429	8.45	0	0.0569048513364726	1	0.0925452076056063	0.350092885458106	-1.19791074211827	6.03	2.32	20.925	18.81	18.81
"S65"	2019	-3.19	1.05771338689724	1.98636363636364	25.7142857142857	-0.370813403623557	0.157684597943718	33.9065513696455	6.94489	3.8	85	7.806	7.95	0.0253058652647703	0.0553018643474404	1.41530729222557	0.770557474850995	0.821906377352323	-1.26921772433361	7.25	1.52	21.8333333333333	16.42	16.42
"S66"	2019	-3.03	0.947027595357723	1.7843137254902	38.8059701492537	-0.830214492604847	0.321170321894507	44.9684151124304	9.82314	3.2	80	8.13444444444444	8.18	0.249834041596792	0.0675172019036753	1.46728244761814	0.1477999492012	0.920332071539589	-0.875495775165718	7.284819	1.18666666666667	21.8	18.50484	19.39
"S67"	2018	-1.62	1.03737330754056	2.31176470588235	17.8571428571429	-0.911677105408007	0.143096908110526	63.8426700420279	17.50284	1.4	50	7.8	8.106	0.0791812460476248	0.230448921378274	1.66275783168157	0.243038048686294	0.693726948923647	-0.490797477668897	3.07	2.67	21	19.12	19.12
"S68"	2018	-1.53	0.332128268518196	2.31578947368421	10.8695652173913	0.0458116913270157	0.115229535251109	76.4400159083378	15.4884	4.5	80	8.13	8.36	0.284430733844519	0.287241711178348	1.24919835739111	0.585460729508501	0.693639026161548	0.228400358703005	8.52	0.8	18.1666666675	24.55	24.55
"S69"	2018	-2.1	0.789301778545919	2.01071428571429	41.1764705882353	-0.0207554394290926	0.411953428781424	44.0775434838909	21.27864	3.5	50	7.82	8.314	0.113943352306837	0.0791812460476248	1.41497334797082	0.439332693830263	1.0099605314706	0.11806622171401	8.31	1.14	18	16.21	16.21
